name,n_rows,n features,n_threads,time,grad_time,loss_time,speedup,grad_speedup,loss_speedup,efficiency,grad_efficiency,loss_efficiency,iterations,loss,grad_norm
CG CUDA TPB 512,1000,60,512,1.36,0.29,1.07,0.99,1.37,0.89,0.165,0.2281,0.1477,11,563.8378,5.837306104455307e-05
GD CUDA TPB 1024,1000,60,1024,0.73,0.04,0.69,0.54,1.21,0.51,0.1358,0.3036,0.1269,30,563.8378,9.73490996475436e-05
CG CUDA TPB 1024,1000,60,1024,2.37,0.32,2.06,0.57,1.26,0.46,0.1418,0.316,0.115,11,563.8378,5.837306104455307e-05
sklearn,1605,119,1,0.02,0.02240920066833496,0.02240920066833496,1,1,1,1,1,1,0,516.3577,0.39920570201869293
GD with Armijo LS,1605,119,1,88.41,16.22,72.19,1.0,1.0,1.0,1,1,1,3949,516.3439,9.878614536944711e-05
CG with Wolfe LS,1605,119,1,79.29,31.19,48.1,1.0,1.0,1.0,1,1,1,204,516.3439,8.336503760818122e-05
GD CUDA TPB 32,1605,119,32,44.43,8.71,35.72,1.99,1.86,2.02,0.0181,0.0169,0.0184,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 32,1605,119,32,37.8,15.94,21.86,2.1,1.96,2.2,0.0191,0.0178,0.02,149,516.3439,7.620485817524025e-05
GD CUDA TPB 64,1605,119,64,82.75,15.18,67.57,1.07,1.07,1.07,0.0191,0.0191,0.0191,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 64,1605,119,64,36.51,14.37,22.14,2.17,2.17,2.17,0.0388,0.0387,0.0388,149,516.3439,7.620485817524025e-05
GD CUDA TPB 128,1605,119,128,74.73,12.04,62.69,1.18,1.35,1.15,0.0423,0.0481,0.0411,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 128,1605,119,128,33.21,12.01,21.2,2.39,2.6,2.27,0.0853,0.0928,0.081,149,516.3439,7.620485817524025e-05
GD CUDA TPB 256,1605,119,256,68.21,9.45,58.76,1.3,1.72,1.23,0.081,0.1073,0.0768,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 256,1605,119,256,29.22,9.4,19.82,2.71,3.32,2.43,0.1696,0.2074,0.1517,149,516.3439,7.620485817524025e-05
GD CUDA TPB 512,1605,119,512,65.15,7.4,57.74,1.36,2.19,1.25,0.1357,0.2191,0.125,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 512,1605,119,512,27.8,7.54,20.27,2.85,4.14,2.37,0.2852,0.4138,0.2373,149,516.3439,7.620485817524025e-05
GD CUDA TPB 1024,1605,119,1024,96.07,7.44,88.63,0.92,2.18,0.81,0.1534,0.3635,0.1358,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 1024,1605,119,1024,37.33,7.45,29.88,2.12,4.18,1.61,0.354,0.6974,0.2683,149,516.3439,7.620485817524025e-05
sklearn,3185,122,1,0.17,0.1706857681274414,0.1706857681274414,1,1,1,1,1,1,0,1040.5867,0.628333914211533
GD with Armijo LS,3185,122,1,449.86,68.81,381.05,1.0,1.0,1.0,1,1,1,7713,1040.5659,9.896184368484889e-05
CG with Wolfe LS,3185,122,1,331.98,114.9,217.08,1.0,1.0,1.0,1,1,1,336,1040.5659,7.056263074667834e-05
GD CUDA TPB 32,3185,122,32,66.75,13.71,53.05,6.74,5.02,7.18,0.0324,0.0241,0.0345,7730,1040.5659,9.960114433329028e-05
CG CUDA TPB 32,3185,122,32,41.41,17.9,23.51,8.02,6.42,9.23,0.0385,0.0309,0.0444,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 64,3185,122,64,71.97,14.57,57.4,6.25,4.72,6.64,0.0601,0.0454,0.0638,7730,1040.5659,9.96011555272268e-05
