name,n_rows,n features,n_threads,time,speedup,efficiency,iterations,loss,grad_norm
sklearn,3185,122,1,0.23,1,1,0,1040.5867,0.628333914211533
GD with Armijo LS,3185,122,1,502.82,1,1,7713,1040.5659,9.896184368484889e-05
CG with Wolfe LS,3185,122,1,330.05,1,1,336,1040.5659,7.056263074667834e-05
GD CUDA TPB 32,3185,122,32,136.03,3.7,0.0005553362272138029,7730,1040.5659,9.960114433329028e-05
CG CUDA TPB 32,3185,122,32,71.21,4.63,0.0006963551507437616,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 64,3185,122,64,106.57,4.72,0.0007088659013233314,7730,1040.5659,9.96011555272268e-05
CG CUDA TPB 64,3185,122,64,62.02,5.32,0.000799553647254549,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 128,3185,122,128,111.48,4.51,0.0006776406091337852,7730,1040.5659,9.960115699602947e-05
CG CUDA TPB 128,3185,122,128,60.58,5.45,0.0008185301700520207,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 256,3185,122,256,113.19,4.44,0.0006197270498120437,7730,1040.5659,9.960115796464142e-05
CG CUDA TPB 256,3185,122,256,72.57,4.55,0.000634482992637982,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 512,3185,122,512,125.5,4.01,0.0004890603461717446,7730,1040.5659,9.960114982237953e-05
CG CUDA TPB 512,3185,122,512,62.96,5.24,0.00063993939572148,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 1024,3185,122,1024,172.22,2.92,0.0002851137693953516,7730,1040.5659,9.960114857268616e-05
CG CUDA TPB 1024,3185,122,1024,89.62,3.68,0.0003596361659496069,289,1040.5659,9.3613591069598e-05
sklearn,11055,68,1,0.14,1,1,0,1655.9555,3.3017806104316048
GD with Armijo LS,11055,68,1,641.1,1,1,4298,1655.0573,9.83997030035925e-05
CG with Wolfe LS,11055,68,1,464.69,1,1,287,1655.0573,9.352638572263727e-05
GD CUDA TPB 32,11055,68,32,79.29,8.09,0.0003619780279247036,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 32,11055,68,32,49.59,9.37,0.00041954067709884,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 64,11055,68,64,47.01,13.64,0.0006087545324923587,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 64,11055,68,64,64.25,7.23,0.00032287105468723295,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 128,11055,68,128,61.57,10.41,0.0004622207338996814,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 128,11055,68,128,43.09,10.78,0.00047869919240429954,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 256,11055,68,256,59.36,10.8,0.00046872074248770966,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 256,11055,68,256,69.45,6.69,0.0002904208153607787,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 512,11055,68,512,90.37,7.09,0.00030122668206788197,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 512,11055,68,512,72.57,6.4,0.00027187423679944466,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 1024,11055,68,1024,120.09,5.34,0.00021721742957456506,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 1024,11055,68,1024,96.96,4.79,0.00019500903179313922,336,1655.0573,9.538203138833475e-05
