name,n_rows,n features,n_threads,time,grad_time,loss_time,speedup,grad_speedup,loss_speedup,efficiency,grad_efficiency,loss_efficiency,iterations,loss,grad_norm
GD CUDA TPB 1024,1000,60,1024,0.71,0.03,0.68,0.38,1.08,0.35,0.0961,0.271,0.0877,30,563.8378,9.73490996475436e-05
CG CUDA TPB 1024,1000,60,1024,2.31,0.29,2.02,0.43,1.12,0.33,0.1064,0.2812,0.0813,11,563.8378,5.837306104455307e-05
sklearn,1605,119,1,0.02,0.02,0.02,1,1,1,1,1,1,0,516.3577,0.39920570201869293
GD with Armijo LS,1605,119,1,87.19,16.52,70.67,1,1,1,1,1,1,3949,516.3439,9.878614536944711e-05
CG with Wolfe LS,1605,119,1,51.01,21.12,29.89,1,1,1,1,1,1,204,516.3439,8.336503760818122e-05
GD CUDA TPB 32,1605,119,32,80.1,16.39,63.71,1.09,1.01,1.11,0.0099,0.0092,0.0101,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 32,1605,119,32,37.24,15.79,21.45,1.37,1.34,1.39,0.0125,0.0122,0.0127,149,516.3439,7.620485817524025e-05
GD CUDA TPB 64,1605,119,64,79.98,14.71,65.26,1.09,1.12,1.08,0.0195,0.0201,0.0193,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 64,1605,119,64,34.76,13.62,21.14,1.47,1.55,1.41,0.0262,0.0277,0.0252,149,516.3439,7.620485817524025e-05
GD CUDA TPB 128,1605,119,128,73.15,11.76,61.4,1.19,1.41,1.15,0.0426,0.0502,0.0411,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 128,1605,119,128,30.82,11.12,19.7,1.66,1.9,1.52,0.0591,0.0678,0.0542,149,516.3439,7.620485817524025e-05
GD CUDA TPB 256,1605,119,256,67.47,9.29,58.18,1.29,1.78,1.21,0.0808,0.1112,0.0759,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 256,1605,119,256,28.94,9.26,19.68,1.76,2.28,1.52,0.1102,0.1425,0.0949,149,516.3439,7.620485817524025e-05
GD CUDA TPB 512,1605,119,512,59.3,6.71,52.59,1.47,2.46,1.34,0.147,0.2461,0.1344,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 512,1605,119,512,27.49,7.36,20.13,1.86,2.87,1.48,0.1855,0.2869,0.1485,149,516.3439,7.620485817524025e-05
GD CUDA TPB 1024,1605,119,1024,94.71,7.19,87.53,0.92,2.3,0.81,0.1534,0.383,0.1346,3949,516.3439,9.878614505099286e-05
CG CUDA TPB 1024,1605,119,1024,36.68,7.19,29.49,1.39,2.94,1.01,0.2318,0.4895,0.1689,149,516.3439,7.620485817524025e-05
sklearn,3185,122,1,0.21,0.21,0.21,1,1,1,1,1,1,0,1040.5867,0.628333914211533
GD with Armijo LS,3185,122,1,477.03,75.98,401.05,1,1,1,1,1,1,7713,1040.5659,9.896184368484889e-05
CG with Wolfe LS,3185,122,1,336.25,120.99,215.26,1,1,1,1,1,1,336,1040.5659,7.056263074667834e-05
GD CUDA TPB 32,3185,122,32,107.03,25.32,81.7,4.46,3.0,4.91,0.0214,0.0144,0.0236,7730,1040.5659,9.960114433329028e-05
CG CUDA TPB 32,3185,122,32,79.57,36.9,42.67,4.23,3.28,5.04,0.0203,0.0158,0.0243,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 64,3185,122,64,88.35,18.44,69.9,5.4,4.12,5.74,0.0519,0.0396,0.0552,7730,1040.5659,9.96011555272268e-05
CG CUDA TPB 64,3185,122,64,89.4,40.33,49.07,3.76,3.0,4.39,0.0362,0.0288,0.0422,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 128,3185,122,128,142.61,28.25,114.36,3.35,2.69,3.51,0.0643,0.0517,0.0674,7730,1040.5659,9.960115699602947e-05
CG CUDA TPB 128,3185,122,128,76.71,31.82,44.89,4.38,3.8,4.79,0.0843,0.0731,0.0922,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 256,3185,122,256,139.11,22.45,116.66,3.43,3.38,3.44,0.1225,0.1209,0.1228,7730,1040.5659,9.960115796464142e-05
CG CUDA TPB 256,3185,122,256,75.35,27.23,48.11,4.46,4.44,4.47,0.1594,0.1587,0.1598,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 512,3185,122,512,128.12,16.12,112.0,3.72,4.71,3.58,0.2327,0.2946,0.2238,7730,1040.5659,9.960114982237953e-05
CG CUDA TPB 512,3185,122,512,66.56,19.82,46.75,5.05,6.11,4.6,0.3157,0.3816,0.2878,289,1040.5659,9.3613591069598e-05
GD CUDA TPB 1024,3185,122,1024,188.25,16.52,171.73,2.53,4.6,2.34,0.2534,0.4599,0.2335,7730,1040.5659,9.960114857268616e-05
CG CUDA TPB 1024,3185,122,1024,91.66,20.36,71.31,3.67,5.94,3.02,0.3668,0.5944,0.3019,289,1040.5659,9.3613591069598e-05
sklearn,11055,68,1,0.16,0.16,0.16,1,1,1,1,1,1,0,1655.9555,3.3017806104316048
GD with Armijo LS,11055,68,1,670.3,68.31,601.98,1,1,1,1,1,1,4298,1655.0573,9.83997030035925e-05
CG with Wolfe LS,11055,68,1,380.74,97.02,283.72,1,1,1,1,1,1,287,1655.0573,9.352638572263727e-05
GD CUDA TPB 32,11055,68,32,48.72,15.38,33.34,13.76,4.44,18.06,0.0197,0.0064,0.0259,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 32,11055,68,32,41.98,24.29,17.69,9.07,3.99,16.04,0.013,0.0057,0.023,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 64,11055,68,64,76.97,23.0,53.97,8.71,2.97,11.15,0.0249,0.0085,0.0319,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 64,11055,68,64,68.02,34.8,33.23,5.6,2.79,8.54,0.016,0.008,0.0244,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 128,11055,68,128,67.54,19.51,48.03,9.92,3.5,12.53,0.0564,0.0199,0.0712,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 128,11055,68,128,62.39,32.61,29.78,6.1,2.98,9.53,0.0347,0.0169,0.0541,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 256,11055,68,256,70.6,16.31,54.29,9.49,4.19,11.09,0.1055,0.0466,0.1232,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 256,11055,68,256,69.84,32.51,37.33,5.45,2.98,7.6,0.0606,0.0332,0.0845,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 512,11055,68,512,90.37,16.37,73.99,7.42,4.17,8.14,0.1613,0.0907,0.1769,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 512,11055,68,512,83.21,32.73,50.49,4.58,2.96,5.62,0.0995,0.0644,0.1222,336,1655.0573,9.538203138833475e-05
GD CUDA TPB 1024,11055,68,1024,129.57,16.38,113.19,5.17,4.17,5.32,0.2155,0.1737,0.2216,4298,1655.0573,9.839969446665485e-05
CG CUDA TPB 1024,11055,68,1024,109.02,32.72,76.3,3.49,2.96,3.72,0.1455,0.1235,0.1549,336,1655.0573,9.538203138833475e-05
